iter	Passed	Remaining
0	0	47
1	0	38
2	1	33
3	1	28
4	1	36
5	2	33
6	2	37
7	3	35
8	3	34
9	4	36
10	4	35
11	4	34
12	4	32
13	5	32
14	5	31
15	5	30
16	6	31
17	6	30
18	6	29
19	7	29
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	8	25
26	9	25
27	9	24
28	9	23
29	9	23
30	11	24
31	11	24
32	11	23
33	12	23
34	13	24
35	13	24
36	13	23
37	14	23
38	14	22
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	17	15
53	17	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	28	3
89	29	3
90	30	3
91	30	2
92	30	2
93	31	1
94	31	1
95	32	1
96	32	1
97	32	0
98	32	0
99	33	0
